,Price,Price $ Change,Price % Change,Comp. Rating,EPS Rating,RS Rating,Ind Grp RS,SMR Rating,Acc/Dis Rating,Spon Rating,Vol. % Change,Vol. (1000s),Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,Price,from Open,Gap,Company,Sector,Industry,Country
CZR,88.94,1.49,1.7,50.0,5.0,96.0,9.0,2.0,7.0,3.0,-23.0,2727,3.24,5.18,-0.0296,0.042300000000000004,0.4355,-0.1625,8.2936,50.64,88.94,0.0045000000000000005,0.0125,"Caesars Entertainment, Inc.",Consumer Cyclical,Resorts & Casinos,USA
ICL,5.85,0.04,0.69,83.0,45.0,76.0,11.0,3.0,12.0,,-10.0,131,,0.15,-0.0116,0.0209,0.349,-0.044000000000000004,1.0277,50.12,5.86,0.0103,-0.0017000000000000001,ICL Group Ltd,Basic Materials,Agricultural Inputs,Israel
HUBS,485.56,31.4,6.91,93.0,85.0,90.0,6.0,4.0,9.0,5.0,28.0,756,1.74,28.21,0.0741,0.0803,0.4194,-0.11259999999999999,3.3939,57.64,485.85,0.044500000000000005,0.0241,"HubSpot, Inc.",Technology,Software - Application,USA
JYNT,45.58,-2.79,-5.77,94.0,74.0,95.0,3.0,5.0,11.0,5.0,-25.0,134,1.27,3.09,0.03,0.1549,0.8382999999999999,-0.08839999999999999,4.2032,57.13,45.58,-0.056100000000000004,-0.0017000000000000001,The Joint Corp.,Healthcare,Medical Care Facilities,USA
FRPT,159.39,0.58,0.36,50.0,22.0,78.0,3.0,3.0,9.0,4.0,-22.0,293,0.69,7.47,0.0659,0.0455,0.2798,-0.0814,1.7028999999999999,57.4,159.39,-0.0105,0.0143,"Freshpet, Inc.",Consumer Defensive,Packaged Foods,USA
TBK,81.66,4.27,5.52,99.0,95.0,94.0,13.0,4.0,12.0,3.0,53.0,260,1.07,3.64,0.0298,0.1307,0.7877,-0.0466,3.1877,60.71,81.66,0.0496,0.0053,"Triumph Bancorp, Inc.",Financial,Banks - Regional,USA
PRAH,156.16,2.83,1.85,87.0,79.0,74.0,6.0,5.0,10.0,4.0,18.0,1019,1.32,3.9,0.0558,0.1367,0.3567,0.0075,1.1853,71.55,156.16,0.028900000000000002,-0.0102,"PRA Health Sciences, Inc.",Healthcare,Diagnostics & Research,USA
KEN,31.1,0.6,1.97,89.0,74.0,74.0,11.0,2.0,11.0,,179.0,8,1.79,1.03,0.044199999999999996,0.0487,0.3181,-0.0126,1.5119,56.52,31.25,0.013600000000000001,0.0108,Kenon Holdings Ltd.,Utilities,Utilities - Regulated Electric,Singapore
VUZI,24.85,-0.59,-2.32,90.0,48.0,99.0,12.0,2.0,12.0,4.0,-16.0,6818,2.5,4.0,0.1585,0.3948,2.134,-0.1892,21.363200000000003,56.24,24.85,-0.0024,-0.0208,Vuzix Corporation,Technology,Consumer Electronics,USA
INOV,29.67,0.89,3.09,81.0,76.0,75.0,1.0,4.0,10.0,3.0,-17.0,501,0.56,0.92,0.09539999999999998,0.1266,0.2774,0.0274,0.9584,73.37,29.67,0.0274,0.0034999999999999996,"Inovalon Holdings, Inc.",Healthcare,Health Information Services,USA
VSTO,32.38,0.31,0.97,94.0,77.0,89.0,7.0,3.0,8.0,3.0,-49.0,710,0.47,1.94,0.028300000000000002,0.0189,0.4127,-0.1572,3.9586,52.93,32.33,0.0009,0.0072,Vista Outdoor Inc.,Consumer Cyclical,Leisure,USA
EVH,20.66,0.46,2.28,78.0,55.0,92.0,1.0,3.0,12.0,3.0,-41.0,363,2.41,1.13,0.0302,0.0625,0.4608,-0.07519999999999999,3.7737,55.98,20.67,0.0103,0.0129,"Evolent Health, Inc.",Healthcare,Health Information Services,USA
BLD,213.87,4.44,2.12,93.0,99.0,83.0,8.0,5.0,2.0,4.0,-33.0,191,1.54,9.61,0.0593,0.04,0.2482,-0.050199999999999995,2.6147000000000005,56.8,213.59,0.0108,0.009000000000000001,TopBuild Corp.,Industrials,Engineering & Construction,USA
RBNC,28.97,0.25,0.87,99.0,88.0,89.0,13.0,5.0,12.0,4.0,-22.0,50,0.98,1.29,0.06,0.22399999999999998,0.5857,-0.0655,2.0656,63.54,28.97,0.0066,0.0021,"Reliant Bancorp, Inc.",Financial,Banks - Regional,USA
LOB,68.24,-0.25,-0.36,99.0,79.0,97.0,13.0,5.0,10.0,3.0,-3.0,386,1.41,3.76,0.09269999999999999,0.2783,0.9037000000000001,-0.0433,5.574199999999999,67.47,68.24,-0.0113,0.0077,"Live Oak Bancshares, Inc.",Financial,Banks - Regional,USA
RILY,56.91,0.53,0.94,99.0,97.0,93.0,12.0,5.0,8.0,3.0,-21.0,175,1.3,2.43,0.0067,0.061399999999999996,0.6554000000000001,-0.1272,2.7929000000000004,55.15,56.91,0.0074,0.002,"B. Riley Financial, Inc.",Financial,Financial Conglomerates,USA
RMNI,9.01,0.04,0.45,87.0,74.0,92.0,8.0,,11.0,4.0,-14.0,517,0.52,0.62,0.0767,0.1082,0.685,-0.1595,1.9638,58.58,9.01,-0.0207,0.0256,"Rimini Street, Inc.",Technology,Software - Application,USA
PEN,274.39,3.81,1.41,64.0,39.0,75.0,8.0,3.0,6.0,4.0,-42.0,261,0.25,12.3,0.013600000000000001,0.018799999999999997,0.2151,-0.127,0.8382,53.52,274.31,0.0062,0.0075,"Penumbra, Inc.",Healthcare,Medical Devices,USA
SGRY,43.6,-0.66,-1.49,70.0,13.0,97.0,9.0,2.0,12.0,3.0,-36.0,353,3.17,2.34,0.04769999999999999,0.1277,0.7020000000000001,-0.030699999999999998,8.1789,60.03,43.6,-0.0287,0.014199999999999999,"Surgery Partners, Inc.",Healthcare,Medical Care Facilities,USA
PFGC,57.53,-0.08,-0.14,71.0,26.0,83.0,10.0,3.0,9.0,4.0,-34.0,537,1.7,2.46,0.0276,0.0745,0.39030000000000004,-0.0387,1.9328,56.45,57.57,-0.0129,0.0123,Performance Food Group Company,Consumer Defensive,Food Distribution,USA
ACRS,26.5,1.3,5.16,74.0,46.0,99.0,2.0,2.0,12.0,4.0,59.0,1463,0.69,2.1,0.1139,0.1918,2.2643,-0.051399999999999994,26.601300000000002,60.39,26.5,0.0038,0.047599999999999996,"Aclaris Therapeutics, Inc.",Healthcare,Biotechnology,USA
ABTX,40.89,0.35,0.86,96.0,86.0,73.0,13.0,4.0,12.0,3.0,-55.0,36,1.11,1.73,-0.0037,0.0599,0.33909999999999996,-0.0565,0.9582999999999999,53.84,40.89,0.0131,-0.0044,"Allegiance Bancshares, Inc.",Financial,Banks - Regional,USA
CSWI,136.32,1.32,0.98,90.0,92.0,81.0,9.0,5.0,7.0,3.0,-39.0,37,0.81,3.85,0.0276,0.0633,0.3967,-0.0194,1.3958000000000002,59.6,136.32,0.0096,0.0001,"CSW Industrials, Inc.",Industrials,Specialty Industrial Machinery,USA
FLOW,64.91,1.58,2.49,51.0,36.0,77.0,8.0,2.0,3.0,3.0,-59.0,93,1.82,2.24,-0.011200000000000002,0.0634,0.2944,-0.0731,1.6843000000000001,53.17,64.88,0.018799999999999997,0.0055000000000000005,"SPX FLOW, Inc.",Industrials,Specialty Industrial Machinery,USA
WSC,28.98,1.23,4.43,96.0,74.0,87.0,12.0,4.0,3.0,3.0,68.0,2880,1.76,1.11,0.0862,0.0986,0.4228,0.009399999999999999,2.4707,62.97,28.98,0.0339,0.0101,WillScot Mobile Mini Holdings Corp.,Industrials,Rental & Leasing Services,USA
DLTH,15.99,-0.95,-5.61,86.0,52.0,92.0,12.0,3.0,9.0,2.0,-7.0,239,0.8,1.15,0.042199999999999994,0.1162,0.3353,-0.0981,3.9813,55.75,15.99,-0.0676,0.0124,Duluth Holdings Inc.,Consumer Cyclical,Apparel Retail,USA
BGNE,342.28,-5.8,-1.67,52.0,36.0,79.0,7.0,2.0,7.0,4.0,-46.0,166,0.91,17.72,0.057300000000000004,0.0096,0.247,-0.12,1.7996,55.03,342.28,-0.0212,0.0046,"BeiGene, Ltd.",Healthcare,Biotechnology,China
WFG,73.84,1.8,2.5,99.0,74.0,97.0,10.0,5.0,10.0,1.0,121.0,361,,2.93,0.1257,0.1067,0.35009999999999997,-0.062,3.3887,66.84,73.94,0.0217,0.0046,West Fraser Timber Co. Ltd.,Basic Materials,Lumber & Wood Production,Canada
TPB,52.38,0.21,0.4,94.0,95.0,85.0,6.0,5.0,8.0,3.0,11.0,254,0.57,2.14,0.0254,0.0286,0.3761,-0.1424,1.7394999999999998,54.35,52.38,-0.004,0.008100000000000001,"Turning Point Brands, Inc.",Consumer Defensive,Tobacco,USA
TLND,63.94,0.3,0.47,51.0,8.0,89.0,2.0,2.0,11.0,4.0,15.0,699,0.84,1.85,0.0418,0.1745,0.49560000000000004,-0.0297,2.494,66.5,63.94,0.0036,0.0011,Talend S.A.,Technology,Software - Infrastructure,France
HOME,27.67,-1.03,-3.59,96.0,76.0,99.0,11.0,5.0,9.0,2.0,-15.0,1699,2.55,2.53,-0.0279,0.056600000000000004,0.5529,-0.1938,20.3462,50.24,27.75,-0.0431,0.0105,At Home Group Inc.,Consumer Cyclical,Specialty Retail,USA
MEDP,169.66,5.61,3.42,94.0,99.0,79.0,6.0,5.0,11.0,3.0,-27.0,150,1.37,6.65,0.0555,0.08869999999999999,0.31629999999999997,-0.0421,1.5406,60.39,169.66,0.0296,0.0044,"Medpace Holdings, Inc.",Healthcare,Diagnostics & Research,USA
PTGX,26.71,0.81,3.13,60.0,45.0,88.0,2.0,2.0,9.0,3.0,-40.0,208,1.56,1.95,-0.0805,0.0207,0.23800000000000002,-0.1679,3.4517,46.41,26.71,0.024900000000000002,0.0062,"Protagonist Therapeutics, Inc.",Healthcare,Biotechnology,USA
ELF,26.94,0.11,0.41,80.0,70.0,78.0,5.0,4.0,10.0,3.0,-50.0,387,2.06,1.07,-0.009899999999999999,0.0684,0.2501,-0.0787,2.3590999999999998,52.48,26.94,0.0052,-0.0011,"e.l.f. Beauty, Inc.",Consumer Defensive,Household & Personal Products,USA
CSTR,17.65,0.4,2.32,98.0,91.0,75.0,13.0,5.0,9.0,2.0,-47.0,37,1.14,0.73,0.0233,0.0932,0.3829,-0.0774,1.0715999999999999,56.79,17.65,0.0268,-0.0034999999999999996,"Capstar Financial Holdings, Inc.",Financial,Banks - Regional,USA
FBK,44.65,0.19,0.43,98.0,94.0,83.0,13.0,5.0,8.0,3.0,-33.0,104,1.26,1.7,-0.0301,0.0622,0.3886,-0.09880000000000001,1.5323,50.74,44.72,0.013600000000000001,-0.0076,FB Financial Corporation,Financial,Banks - Regional,USA
CWH,36.91,0.53,1.46,91.0,76.0,94.0,7.0,2.0,9.0,3.0,-47.0,796,3.36,2.6,-0.024900000000000002,0.0015,0.1736,-0.1628,8.3559,49.68,36.92,0.0014000000000000002,0.013500000000000002,"Camping World Holdings, Inc.",Consumer Cyclical,Recreational Vehicles,USA
DFIN,29.04,1.21,4.35,94.0,74.0,96.0,10.0,5.0,12.0,3.0,-20.0,216,2.15,1.44,0.0344,0.2014,0.8406,-0.04,6.0461,61.91,29.03,0.0375,0.0054,"Donnelley Financial Solutions, Inc.",Financial,Capital Markets,USA
ATH,51.16,0.76,1.51,88.0,87.0,76.0,5.0,4.0,8.0,3.0,-39.0,1171,1.64,1.81,0.0177,0.0917,0.2904,-0.07690000000000001,1.4336000000000002,59.13,51.13,0.0125,0.002,Athene Holding Ltd.,Financial,Insurance - Diversified,Bermuda
ICHR,58.73,4.93,9.16,98.0,93.0,94.0,12.0,5.0,13.0,3.0,33.0,581,2.31,3.65,0.26170000000000004,0.3387,0.8412999999999999,0.0725,2.8335000000000004,69.4,58.73,0.0678,0.0223,"Ichor Holdings, Ltd.",Technology,Semiconductor Equipment & Materials,USA
ORGO,19.83,1.61,8.84,97.0,74.0,99.0,8.0,4.0,13.0,4.0,136.0,1895,1.39,1.71,0.121,0.34409999999999996,1.7816999999999998,-0.0883,6.2372000000000005,63.35,19.83,0.0872,0.0011,Organogenesis Holdings Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,USA
JELD,28.41,0.72,2.6,79.0,84.0,82.0,8.0,3.0,2.0,3.0,-55.0,266,2.55,1.43,0.0217,0.0127,0.20420000000000002,-0.0919,3.0183999999999997,52.81,28.37,0.0147,0.0098,"JELD-WEN Holding, Inc.",Industrials,Building Products & Equipment,USA
ARD,25.46,0.06,0.22,74.0,72.0,84.0,4.0,,11.0,3.0,-11.0,110,1.25,1.12,-0.0209,0.1411,0.4818,-0.0693,1.4566,55.1,25.5,0.0034999999999999996,0.0,Ardagh Group S.A.,Consumer Cyclical,Packaging & Containers,Luxembourg
FND,98.9,3.42,3.58,93.0,99.0,83.0,5.0,5.0,5.0,4.0,-25.0,546,1.88,4.73,0.0461,0.0217,0.2134,-0.0889,2.7918000000000003,54.33,98.89,0.0182,0.0172,"Floor & Decor Holdings, Inc.",Consumer Cyclical,Home Improvement Retail,USA
IR,49.65,0.44,0.89,92.0,84.0,71.0,8.0,5.0,8.0,4.0,-31.0,1516,1.56,1.55,0.009300000000000001,0.0716,0.25129999999999997,-0.0388,1.1981,56.25,49.61,0.004,0.0040999999999999995,Ingersoll Rand Inc.,Industrials,Specialty Industrial Machinery,USA
NESR,12.69,0.32,2.59,87.0,26.0,86.0,13.0,4.0,10.0,3.0,-24.0,218,0.95,0.63,0.0128,0.0519,0.43479999999999996,-0.10949999999999999,2.1411000000000002,55.05,12.69,0.0152,0.0105,National Energy Services Reunited Corp.,Energy,Oil & Gas Equipment & Services,USA
RBB,20.21,-0.06,-0.3,86.0,78.0,73.0,11.0,4.0,10.0,4.0,-33.0,33,0.94,0.85,-0.0418,0.0434,0.33520000000000005,-0.1213,0.9048,49.03,20.21,0.0,-0.003,RBB Bancorp,Financial,Banks - Regional,USA
CSSE,27.97,3.91,16.3,72.0,40.0,95.0,9.0,2.0,10.0,4.0,220.0,176,1.63,2.39,0.1073,0.0556,0.6551,-0.151,4.1463,58.3,27.97,0.1306,0.028300000000000002,"Chicken Soup for the Soul Entertainment, Inc.",Communication Services,Broadcasting,USA
NSCO,9.38,0.03,0.32,72.0,31.0,90.0,12.0,,11.0,4.0,3.0,191,0.25,0.51,0.0674,0.1217,0.6768000000000001,-0.0291,4.1657,66.14,9.35,-0.0116,0.0118,"Nesco Holdings, Inc.",Industrials,Rental & Leasing Services,USA
SE,236.63,13.4,6.0,50.0,8.0,92.0,9.0,2.0,5.0,5.0,1.0,4813,1.31,16.47,0.0787,0.0003,0.3367,-0.1704,4.8513,55.44,236.45,0.0348,0.0236,Sea Limited,Communication Services,Electronic Gaming & Multimedia,Singapore
NEXA,10.45,0.2,1.95,57.0,66.0,87.0,1.0,1.0,9.0,2.0,-17.0,96,1.76,0.7,0.0058,0.052300000000000006,0.3392,-0.1693,3.0741,53.07,10.45,-0.0038,0.023399999999999997,Nexa Resources S.A.,Basic Materials,Other Industrial Metals & Mining,Luxembourg
MBIN,41.33,-0.61,-1.45,98.0,99.0,90.0,10.0,5.0,12.0,4.0,-27.0,49,1.11,1.82,0.0209,0.1568,0.6154,-0.0759,2.2672,61.12,41.33,-0.015,0.0005,Merchants Bancorp,Financial,Banks - Regional,USA
ALTR,63.32,0.75,1.2,84.0,84.0,77.0,3.0,3.0,11.0,4.0,16.0,369,1.54,2.97,0.0437,0.0334,0.2717,-0.0767,1.7483000000000002,54.88,63.32,-0.0042,0.0163,Altair Engineering Inc.,Technology,Software - Infrastructure,USA
FNKO,20.96,1.28,6.5,94.0,58.0,97.0,12.0,2.0,13.0,3.0,573.0,17559,2.44,2.17,0.2208,0.4364,1.3056,-0.152,5.717899999999999,68.87,20.96,-0.055,0.127,"Funko, Inc.",Consumer Cyclical,Leisure,USA
REKR,20.35,0.36,1.8,77.0,24.0,98.0,7.0,2.0,13.0,4.0,-54.0,517,1.76,2.0,0.1527,0.25489999999999996,1.52,-0.09369999999999999,5.585800000000001,59.97,20.35,0.0124,0.0055000000000000005,"Rekor Systems, Inc.",Industrials,Security & Protection Services,USA
PACK,20.29,0.23,1.15,56.0,18.0,92.0,4.0,3.0,10.0,4.0,-69.0,114,,0.97,-0.0028000000000000004,0.0518,0.6279,-0.07980000000000001,2.4233000000000002,54.24,20.3,0.0074,0.0045000000000000005,Ranpak Holdings Corp.,Consumer Cyclical,Packaging & Containers,USA
LPRO,41.28,5.86,16.5,88.0,64.0,91.0,11.0,2.0,9.0,4.0,551.0,7592,,2.89,0.10339999999999999,0.0843,0.4817,-0.04,3.4055,59.04,41.28,0.1097,0.050300000000000004,Open Lending Corporation,Financial,Credit Services,USA
BWB,16.14,-0.01,-0.06,94.0,72.0,76.0,10.0,4.0,12.0,4.0,-53.0,36,,0.63,-0.015300000000000001,0.0659,0.36719999999999997,-0.11560000000000001,0.9914000000000001,54.54,16.14,0.0037,-0.0043,"Bridgewater Bancshares, Inc.",Financial,Banks - Regional,USA
BFST,24.61,0.68,2.84,99.0,94.0,76.0,10.0,5.0,12.0,4.0,-14.0,35,,1.09,0.042699999999999995,0.0967,0.3586,-0.0105,1.4609999999999999,59.66,24.61,0.0349,-0.0063,"Business First Bancshares, Inc.",Financial,Banks - Regional,USA
STXB,22.9,0.59,2.64,99.0,93.0,86.0,13.0,5.0,10.0,4.0,-41.0,27,,1.18,-0.004,0.095,0.4805,-0.0653,1.5558,55.72,22.9,0.025099999999999997,0.0013,"Spirit of Texas Bancshares, Inc.",Financial,Banks - Regional,USA
EQH,33.01,0.39,1.2,91.0,83.0,82.0,10.0,5.0,9.0,3.0,-48.0,1915,,1.0,0.0388,0.1281,0.3874,-0.0202,1.6261,64.48,33.01,0.012,0.0,"Equitable Holdings, Inc.",Financial,Insurance - Diversified,USA
CHX,21.57,-0.16,-0.74,77.0,13.0,91.0,13.0,3.0,9.0,3.0,3.0,1669,,1.44,-0.0547,0.0886,0.6456999999999999,-0.15710000000000002,3.1086,49.94,21.57,-0.0051,-0.0023,ChampionX Corporation,Energy,Oil & Gas Equipment & Services,USA
OPRX,53.07,4.32,8.86,73.0,66.0,97.0,1.0,3.0,5.0,5.0,-23.0,249,0.67,4.61,0.113,0.0499,0.8443999999999999,-0.1705,5.5925,56.32,53.07,0.073,0.0146,OptimizeRx Corporation,Healthcare,Health Information Services,USA
ESTA,66.1,3.57,5.71,60.0,43.0,97.0,8.0,1.0,6.0,5.0,-6.0,97,,4.94,0.0882,0.0866,1.0222,-0.1406,4.8965,58.66,66.1,0.0489,0.0078000000000000005,Establishment Labs Holdings Inc.,Healthcare,Medical Devices,Costa Rica
SONO,38.96,1.49,3.98,95.0,72.0,95.0,11.0,2.0,11.0,3.0,-49.0,1616,,2.28,-0.0072,0.0947,0.7929999999999999,-0.10869999999999999,4.0794999999999995,53.16,38.96,0.031200000000000002,0.0083,"Sonos, Inc.",Technology,Consumer Electronics,USA
VRT,21.02,1.02,5.1,72.0,80.0,72.0,8.0,4.0,8.0,4.0,-6.0,4105,,0.89,0.0431,0.0236,0.1804,-0.0633,1.7428,57.86,21.01,0.0406,0.0095,Vertiv Holdings Co.,Industrials,Electrical Equipment & Parts,USA
DOOO,87.36,0.44,0.51,83.0,72.0,94.0,7.0,4.0,11.0,4.0,-3.0,100,,3.7,0.1059,0.1704,0.49560000000000004,-0.0079,5.6333,69.73,87.36,-0.008100000000000001,0.0132,BRP Inc.,Consumer Cyclical,Recreational Vehicles,Canada
XPEL,54.76,2.83,5.45,91.0,95.0,95.0,4.0,5.0,8.0,4.0,-50.0,138,1.56,4.33,-0.0058,0.022400000000000003,0.5303,-0.16699999999999998,5.4974,51.53,54.76,0.022400000000000003,0.031400000000000004,"XPEL, Inc.",Consumer Cyclical,Auto Parts,USA
GH,156.99,4.34,2.84,36.0,1.0,79.0,3.0,2.0,9.0,4.0,-24.0,763,,8.83,0.11599999999999999,0.0325,0.34590000000000004,-0.133,1.6543,60.33,156.99,0.0195,0.0088,"Guardant Health, Inc.",Healthcare,Diagnostics & Research,USA
SIBN,31.4,-0.41,-1.29,56.0,40.0,80.0,9.0,2.0,6.0,3.0,-37.0,201,,1.81,0.0062,0.0066,0.2851,-0.12,2.0784000000000002,50.47,31.4,-0.015700000000000002,0.0028000000000000004,"SI-BONE, Inc.",Healthcare,Medical Devices,USA
YETI,73.76,1.55,2.15,89.0,81.0,88.0,7.0,5.0,2.0,3.0,-47.0,677,,3.47,0.0426,0.0429,0.2704,-0.08789999999999999,3.4960000000000004,54.83,73.78,0.0055000000000000005,0.016200000000000003,"YETI Holdings, Inc.",Consumer Cyclical,Leisure,USA
REZI,29.66,1.41,4.99,77.0,41.0,96.0,7.0,4.0,10.0,3.0,-32.0,764,,1.74,0.020499999999999997,0.0958,0.6564,-0.0654,6.957000000000001,55.92,29.6,0.0292,0.0181,"Resideo Technologies, Inc.",Industrials,Security & Protection Services,USA
UTZ,24.98,0.2,0.79,45.0,28.0,77.0,3.0,3.0,5.0,4.0,16.0,724,,1.05,-0.004,0.01,0.309,-0.0672,1.5212999999999999,50.15,25.0,0.0028000000000000004,0.005600000000000001,"Utz Brands, Inc.",Consumer Defensive,Packaged Foods,USA
NFE,49.6,3.69,8.04,70.0,61.0,94.0,8.0,2.0,3.0,3.0,-42.0,311,,4.12,0.0723,0.0412,0.2826,-0.2473,4.975899999999999,53.42,49.6,0.0701,0.0096,New Fortress Energy Inc.,Utilities,Utilities - Regulated Gas,USA
SWAV,131.45,1.19,0.91,70.0,36.0,93.0,9.0,2.0,8.0,4.0,10.0,501,,8.92,0.18420000000000003,0.1015,0.5466,-0.0858,3.9920999999999998,62.04,131.45,-0.0045000000000000005,0.0137,"ShockWave Medical, Inc.",Healthcare,Medical Devices,USA
FUTU,153.6,-5.22,-3.29,99.0,74.0,99.0,12.0,5.0,12.0,2.0,-21.0,10033,,17.53,0.1353,0.1233,1.5138999999999998,-0.248,15.5161,57.12,153.6,-0.0565,0.025099999999999997,Futu Holdings Limited,Financial,Capital Markets,Hong Kong
PINS,77.71,3.68,4.97,98.0,76.0,95.0,9.0,5.0,6.0,4.0,-19.0,11184,,4.59,0.1052,0.034,0.4511,-0.1354,4.8094,58.09,77.73,0.022799999999999997,0.026600000000000002,"Pinterest, Inc.",Communication Services,Internet Content & Information,USA
TMDX,40.07,-1.42,-3.42,74.0,48.0,94.0,8.0,2.0,10.0,3.0,-1.0,899,,4.48,0.0101,0.2003,0.9511,-0.1905,2.5943,52.87,40.07,-0.0518,0.018600000000000002,"TransMedics Group, Inc.",Healthcare,Medical Devices,USA
ALTG,13.42,0.42,3.23,87.0,64.0,86.0,12.0,2.0,11.0,3.0,-5.0,92,,0.58,0.11,0.2119,0.4725,-0.0096,2.3475,66.71,13.39,0.022099999999999998,0.0077,Alta Equipment Group Inc.,Industrials,Rental & Leasing Services,USA
AVTR,29.46,0.53,1.83,85.0,70.0,71.0,6.0,5.0,9.0,4.0,-45.0,2362,,0.89,0.0471,0.0207,0.1945,-0.051500000000000004,1.5586000000000002,57.59,29.45,0.0072,0.010700000000000001,"Avantor, Inc.",Basic Materials,Specialty Chemicals,USA
CTVA,46.69,0.07,0.15,62.0,29.0,76.0,10.0,3.0,7.0,3.0,-28.0,2546,,1.26,0.0066,0.0472,0.3196,-0.0359,1.1423,53.92,46.74,-0.0043,0.0069,"Corteva, Inc.",Basic Materials,Agricultural Inputs,USA
CMBM,48.48,1.76,3.77,99.0,80.0,98.0,12.0,5.0,11.0,5.0,-2.0,298,,4.39,0.0507,0.1436,1.0146,-0.0999,12.5798,55.62,48.48,0.013999999999999999,0.0233,Cambium Networks Corporation,Technology,Communication Equipment,USA
DKNG,62.88,1.55,2.53,63.0,27.0,91.0,9.0,2.0,7.0,4.0,-41.0,9969,,4.75,-0.0473,0.014499999999999999,0.3081,-0.15460000000000002,4.5302999999999995,47.68,62.88,0.014199999999999999,0.0109,DraftKings Inc.,Financial,Shell Companies,USA
INMD,75.86,3.49,4.82,97.0,96.0,93.0,9.0,5.0,9.0,5.0,13.0,880,,4.24,0.0882,0.1201,0.6692,-0.024900000000000002,2.949,61.98,75.86,0.0342,0.013500000000000002,InMode Ltd.,Healthcare,Medical Devices,Israel
TXG,185.79,4.79,2.65,53.0,4.0,86.0,8.0,2.0,11.0,4.0,15.0,833,,11.34,0.129,0.06280000000000001,0.35090000000000005,-0.0789,2.2704,59.71,185.79,0.0233,0.0031,"10x Genomics, Inc.",Healthcare,Health Information Services,USA
BRP,28.06,0.81,2.97,70.0,44.0,73.0,2.0,5.0,8.0,3.0,-32.0,215,,1.35,0.0365,0.041299999999999996,0.10710000000000001,-0.16390000000000002,2.3605,56.99,28.06,0.02,0.0095,"BRP Group, Inc.",Financial,Insurance Brokers,USA
ONEW,41.8,1.84,4.6,91.0,50.0,95.0,8.0,4.0,9.0,4.0,-30.0,65,,2.78,0.0496,0.13,0.48710000000000003,-0.060700000000000004,7.0539,59.45,41.8,0.045,0.001,OneWater Marine Inc.,Consumer Cyclical,Recreational Vehicles,USA
SI,143.5,1.33,0.94,99.0,92.0,99.0,13.0,4.0,10.0,4.0,-40.0,965,,20.37,0.054900000000000004,0.10859999999999999,1.7538,-0.23620000000000002,16.692999999999998,53.22,143.49,-0.0408,0.052199999999999996,Silvergate Capital Corporation,Financial,Banks - Regional,USA
GFL,35.41,0.47,1.33,85.0,74.0,83.0,6.0,3.0,6.0,3.0,-41.0,486,,1.31,0.068,0.1334,0.43310000000000004,-0.0003,1.9715,66.22,35.42,0.013999999999999999,-0.0006,GFL Environmental Inc.,Industrials,Waste Management,Canada
NARI,109.21,2.21,2.07,89.0,74.0,85.0,8.0,5.0,8.0,4.0,-39.0,353,,7.81,0.0253,0.0172,0.41009999999999996,-0.1429,1.7612999999999999,52.7,109.21,-0.0072,0.027999999999999997,"Inari Medical, Inc.",Healthcare,Medical Devices,USA
PAND,60.05,0.13,0.22,62.0,2.0,98.0,7.0,2.0,13.0,4.0,-40.0,238,,1.62,-0.0004,0.5007,1.6691999999999998,-0.0453,4.8414,86.61,60.05,0.0,0.0,"Pandion Therapeutics, Inc.",Healthcare,Biotechnology,USA
MEG,54.44,4.25,8.47,73.0,23.0,91.0,6.0,2.0,12.0,4.0,135.0,582,,4.02,0.2143,0.2659,0.6761,0.053,2.312,66.9,54.35,0.0741,0.008199999999999999,"Montrose Environmental Group, Inc.",Industrials,Waste Management,USA
AOUT,26.07,0.87,3.45,90.0,78.0,78.0,7.0,3.0,12.0,3.0,-20.0,157,,1.54,0.094,0.18600000000000003,0.48450000000000004,-0.1313,1.1303,63.5,26.07,0.0499,-0.0147,"American Outdoor Brands, Inc.",Consumer Cyclical,Leisure,USA
PLBY,23.38,3.79,19.3,86.0,56.0,92.0,8.0,3.0,11.0,,432.0,3812,,2.05,0.4961,0.6613,1.0182,0.0935,1.3736000000000002,73.86,23.38,0.2133,-0.0163,"PLBY Group, Inc.",Consumer Cyclical,Leisure,USA
ASO,29.04,2.05,7.6,97.0,99.0,87.0,8.0,5.0,11.0,4.0,105.0,3566,,1.86,0.1531,0.1887,0.4525,0.0371,1.41,67.68,29.04,0.0724,0.0033,"Academy Sports and Outdoors, Inc.",Consumer Cyclical,Specialty Retail,USA
PUBM,58.0,8.68,17.6,94.0,80.0,89.0,5.0,5.0,12.0,5.0,44.0,1098,,7.42,0.1593,0.1795,0.3942,-0.2463,1.587,58.78,58.0,0.1375,0.0339,"PubMatic, Inc.",Technology,Software - Application,USA
UPST,144.28,15.4,12.0,92.0,31.0,98.0,11.0,3.0,11.0,4.0,-28.0,1736,,18.68,0.5552,0.7687,1.0254,-0.1291,5.3812,64.62,144.28,0.07719999999999999,0.0394,"Upstart Holdings, Inc.",Financial,Credit Services,USA
